"編號 
No.","學校名稱(中文) 
School Name (Chinese)","學校名稱(英文) 
School Name (English)","區域(中文) 
District (Chinese)","區域(英文) 
District (English)"
344,將軍澳循道衛理幼稚園,TSEUNG KWAN O METHODIST KINDERGARTEN,西貢區,Sai Kung
345,青衣商會將軍澳幼稚園,TSING YI TRADE ASSOCIATION TSEUNG KWAN O KINDERGARTEN,西貢區,Sai Kung
346,翠林邨浸信會幼稚園,TSUI LAM ESTATE BAPTIST KINDERGARTEN,西貢區,Sai Kung
347,崇真會美善幼稚園,TSUNG TSIN MISSION GRACEFUL KINDERGARTEN,西貢區,Sai Kung
348,東華三院力勤幼稚園,TUNG WAH GROUP OF HOSPITALS NICKON KINDERGARTEN,西貢區,Sai Kung
349,東華三院香港華都獅子會幼稚園,TWGHS LIONS CLUB OF METROPOLITAN HONG KONG KINDERGARTEN,西貢區,Sai Kung
350,仁愛堂鄧楊詠曼幼稚園,YAN OI TONG DAN YANG WING MAN KINDERGARTEN,西貢區,Sai Kung
351,香港仔浸信會白光幼稚園,ABERDEEN BAPTIST CHURCH PAK KWONG KINDERGARTEN,南區,Southern
352,基督教宣道會利東幼兒學校,CHRISTIAN & MISSIONARY ALLIANCE LEI TUNG NURSERY SCHOOL,南區,Southern
353,基督教宣道會海怡幼兒學校,CHRISTIAN & MISSIONARY ALLIANCE SOUTH HORIZONS NURSERY SCHOOL,南區,Southern
354,啓思幼稚園（深灣軒）,CREATIVE KINDERGARTEN (SHAM WAN TOWERS),南區,Southern
355,嗇色園主辦可仁幼稚園,HO YAN KINDERGARTEN (SPONSORED BY SIK SIK YUEN),南區,Southern
356,路德會利東幼兒園,LEI TUNG LUTHERAN DAY NURSERY,南區,Southern
357,保良局莊啓程夫人（華貴）幼稚園,PO LEUNG KUK MRS VICWOOD K T CHONG (WAH KWAI) KINDERGARTEN,南區,Southern
358,聖文嘉中英文幼稚園,ST. MONICA'S ANGLO-CHINESE KINDERGARTEN,南區,Southern
359,聖文嘉中英文幼稚園（華貴邨）,ST. MONICA'S ANGLO-CHINESE KINDERGARTEN (WAH KWAI ESTATE),南區,Southern
360,天主教聖伯多祿幼稚園,ST. PETER'S CATHOLIC KINDERGARTEN,南區,Southern
361,聖公會聖彼得堂幼稚園（赤柱分校）,ST. PETER'S CHURCH KINDERGARTEN (STANLEY),南區,Southern
362,聖德蘭幼稚園,ST. TERESA'S KINDERGARTEN,南區,Southern
363,基督教海面傳道會仁愛幼稚園,THE HONG KONG HARBOUR MISSION CHURCH YAN OI KINDERGARTEN,南區,Southern
364,救世軍華富幼兒學校,THE SALVATION ARMY WAH FU NURSERY SCHOOL,南區,Southern
365,循道衛理田灣幼稚園,TIN WAN METHODIST KINDERGARTEN,南區,Southern
366,東華三院蕭旺李滿福幼兒園,TWGHS SHIU WONG LEE MOON FOOK NURSERY SCHOOL,南區,Southern
367,東華三院田灣（一九九六至一九九七總理）幼稚園,TWGHS TIN WAN (1996 - 1997 DIRECTORS) KINDERGARTEN,南區,Southern
368,香港西區婦女福利會鴨脷洲邨幼稚園,WOMEN'S WELFARE CLUB WESTERN DISTRICT HONG KONG AP LEI CHAU KINDERGARTEN,南區,Southern
369,浸信會愛羣社會服務處培殷幼兒學校,BAPTIST OI KWAN SOCIAL SERVICE PUI YAN PRE-PRIMARY SCHOOL,深水埗區,Sham Shui Po
370,佛教曾果成中英文幼稚園,BUDDHIST TSANG KOR SING ANGLO-CHINESE KINDERGARTEN,深水埗區,Sham Shui Po
371,智樂幼稚園（南昌街校址）,CHE LOK KINDERGARTEN (LOCATION: NAM CHEONG STREET),深水埗區,Sham Shui Po
372,智樂幼稚園（大南街校址）,CHE LOK KINDERGARTEN (LOCATION: TAI NAN STREET),深水埗區,Sham Shui Po
373,"長沙灣街坊福利會林譚燕華幼稚園（麗翠苑）
(舊校名稱: 長沙灣街坊福利會林譚燕華幼稚園","CHEUNG SHA WAN KAI FONG WELFARE ASSOCIATION LAM TAM YIN WAH KINDERGARTEN (LAI TSUI COURT)
(Name in the past: CHEUNG SHA WAN KAI FONG WELFARE ASSOCIATION LAM TAM YIN WAH KINDERGARTEN",深水埗區,Sham Shui Po
374,宣道會雷蔡群樂幼稚園,CHRISTIAN ALLIANCE LOUEY CHOY KWAN LOK KINDERGARTEN,深水埗區,Sham Shui Po
375,地利亞英文小學暨幼稚園（百老匯街校址）,DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN (LOCATION: BROADWAY),深水埗區,Sham Shui Po
376,地利亞英文小學暨幼稚園（第８期校址）,DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN (LOCATION: STAGE 8),深水埗區,Sham Shui Po
377,基督教香港信義會南昌幼稚園,EVANGELICAL LUTHERAN CHURCH OF HONG KONG NAM CHEONG KINDERGARTEN,深水埗區,Sham Shui Po
378,佳寶幼稚園,GUIDEPOSTS KINDERGARTEN,深水埗區,Sham Shui Po
379,佳寶幼稚園（南昌分校）,GUIDEPOSTS KINDERGARTEN (NAM CHEONG BRANCH),深水埗區,Sham Shui Po
380,香港基督教服務處李鄭屋幼兒學校,HONG KONG CHRISTIAN SERVICE LEI CHENG UK NURSERY SCHOOL,深水埗區,Sham Shui Po
381,香港基督教服務處石硤尾幼兒學校,HONG KONG CHRISTIAN SERVICE SHEK KIP MEI NURSERY SCHOOL,深水埗區,Sham Shui Po
382,香港基督教服務處大坑東幼兒學校,HONG KONG CHRISTIAN SERVICE TAI HANG TUNG NURSERY SCHOOL,深水埗區,Sham Shui Po
383,香港靈糧堂秀德幼稚園,HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN,深水埗區,Sham Shui Po
384,香港靈糧堂秀德幼稚園（二校）,HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN(CAMPUS 2),深水埗區,Sham Shui Po
385,香港聖公會基愛幼兒學校,HONG KONG SHENG KUNG HUI KEI OI NURSERY SCHOOL,深水埗區,Sham Shui Po
386,香港保護兒童會長沙灣幼兒學校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN CHEUNG SHA WAN NURSERY SCHOOL,深水埗區,Sham Shui Po
387,香港基督教女青年會宏恩幼稚園,HONG KONG Y.W.C.A ATHENA KINDERGARTEN,深水埗區,Sham Shui Po
388,香港基督教女青年會趙靄華幼兒學校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHIU OI WAH NURSERY SCHOOL,深水埗區,Sham Shui Po
389,香港基督教女青年會紹邦幼兒學校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION SHIU PONG NURSERY SCHOOL,深水埗區,Sham Shui Po
390,雅各中英文幼稚園（深水埗校）,JAMES ANGLO-CHINESE KINDERGARTEN (SHAM SHUI PO),深水埗區,Sham Shui Po
391,樂善堂董清波幼稚園,LOK SIN TONG TUNG CHING BOR KINDERGARTEN,深水埗區,Sham Shui Po
392,基督教挪威差會主辦信義中英文幼稚園,N-M-S' LUTHERAN KINDERGARTEN,深水埗區,Sham Shui Po
393,竹園區神召會南昌康樂幼兒學校,PENTECOSTAL CHURCH OF HONG KONG NAM CHEONG NURSERY SCHOOL,深水埗區,Sham Shui Po
394,保良局梁安琪幼稚園,PO LEUNG KUK ANGELA LEONG ON KEI KINDERGARTEN,深水埗區,Sham Shui Po
395,保良局劉陳小寶幼稚園,PO LEUNG KUK LAU CHAN SIU PO KINDERGARTEN,深水埗區,Sham Shui Po
396,寶血幼稚園（深水埗）,PRECIOUS BLOOD KINDERGARTEN (SHAM SHUI PO),深水埗區,Sham Shui Po
397,深水埗浸信會幼稚園,SHAM SHUI PO BAPTIST CHURCH KINDERGARTEN,深水埗區,Sham Shui Po
398,深水埗德善幼稚園,SHAM SHUI PO TAK SHIN KINDERGARTEN,深水埗區,Sham Shui Po
399,聖公會深水埗基愛堂幼稚園,SHENG KUNG HUI SHAM SHUI PO KEI OI CHURCH KINDERGARTEN,深水埗區,Sham Shui Po
400,聖多馬堂幼稚園,ST. THOMAS' CHURCH KINDERGARTEN,深水埗區,Sham Shui Po
401,宣美幼稚園,SUEN MEI KINDERGARTEN,深水埗區,Sham Shui Po
402,德貞幼稚園,TACK CHING KINDERGARTEN,深水埗區,Sham Shui Po
403,中華基督教會協和幼稚園,THE CHURCH OF CHRIST IN CHINA HEEP WOH KINDERGARTEN,深水埗區,Sham Shui Po
404,中華基督教會基真幼稚園,THE CHURCH OF CHRIST IN CHINA KEI CHUN KINDERGARTEN,深水埗區,Sham Shui Po
405,中華基督教會深愛堂幼稚園,THE CHURCH OF CHRIST IN CHINA SHUM OI CHURCH KINDERGARTEN,深水埗區,Sham Shui Po
406,救世軍白田幼兒學校,THE SALVATION ARMY PAK TIN NURSERY SCHOOL,深水埗區,Sham Shui Po
407,救世軍蘇屋幼稚園,THE SALVATION ARMY SO UK KINDERGARTEN,深水埗區,Sham Shui Po
408,基督教香港崇真會安康幼兒學校（順寧道）,TSUNG TSIN MISSION OF HONG KONG ON HONG NURSERY SCHOOL (SHUN NING ROAD),深水埗區,Sham Shui Po
409,崇真會白田美善幼稚園,TSUNG TSIN MISSION PAK TIN GRACEFUL KINDERGARTEN,深水埗區,Sham Shui Po
410,崇真小學暨幼稚園,TSUNG TSIN PRIMARY SCHOOL AND KINDERGARTEN,深水埗區,Sham Shui Po
411,東華三院譚錦球伉儷幼稚園,TWGHS MR. & MRS. TAM KAM KAU KINDERGARTEN,深水埗區,Sham Shui Po
412,西太平洋幼稚園,WESTERN PACIFIC KINDERGARTEN,深水埗區,Sham Shui Po
413,仁愛堂龐盧淑燕幼稚園,YAN OI TONG PONG LO SHUK YIN KINDERGARTEN,深水埗區,Sham Shui Po
414,又一村學校,YAU YAT CHUEN SCHOOL,深水埗區,Sham Shui Po
415,藍如溪盛成皿教育基金邊陳之娟幼稚園,ALICE LAN & VERA SHEN EDUCATION FUND DELIA PEI KINDERGARTEN,沙田區,Sha Tin
416,基督教神召會合一堂幼稚園,ASSEMBLY OF GOD UNION CHURCH KINDERGARTEN,沙田區,Sha Tin
417,明愛沙田幼兒學校,CARITAS NURSERY SCHOOL - SHATIN,沙田區,Sha Tin
418,基督教宣道會頌安幼稚園,CHRISTIAN & MISSIONARY ALLIANCE JOYFUL PEACE KINDERGARTEN,沙田區,Sha Tin
419,基督教宣道會沙田幼兒學校,CHRISTIAN & MISSIONARY ALLIANCE SHATIN NURSERY SCHOOL,沙田區,Sha Tin
420,基督教小天使（錦豐）幼稚園,CHRISTIAN LITTLE ANGEL KINDERGARTEN (KAM FUNG COURT),沙田區,Sha Tin
421,啓思幼稚園（帝堡城）,CREATIVE KINDERGARTEN (CASTELLO),沙田區,Sha Tin
422,香港中文大學校友會聯會張煊昌幼稚園,CUHK FEDERATION OF ALUMNI ASSOCIATIONS THOMAS CHEUNG KINDERGARTEN,沙田區,Sha Tin
423,基督教香港信義會頌安幼兒學校,ELCHK CHUNG ON NURSERY SCHOOL,沙田區,Sha Tin
424,基督教香港信義會沙田信義幼稚園,ELCHK SHATIN LUTHERAN KINDERGARTEN,沙田區,Sha Tin
425,沙田靈光幼兒學校,EMMANUEL CHURCH SHATIN NURSERY SCHOOL,沙田區,Sha Tin
426,循理會白普理循理幼兒學校,FREE METHODIST CHURCH BRADBURY CHUN LEI NURSERY SCHOOL,沙田區,Sha Tin
427,恒安浸信會幼兒學校,HENG ON BAPTIST NURSERY SCHOOL,沙田區,Sha Tin
428,港九街坊婦女會孫方中幼稚園,HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG KINDERGARTEN,沙田區,Sha Tin
429,港九街坊婦女會孫方中幼稚園（穗禾苑）,HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG KINDERGARTEN (SUI WO COURT),沙田區,Sha Tin
430,港九街坊婦女會丁孫慧珠幼稚園,HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION TING SUN HUI CHIU KINDERGARTEN,沙田區,Sha Tin
431,香港基督教服務處雋樂幼稚園（沙田）,HONG KONG CHRISTIAN SERVICE PARIO KINDERGARTEN (SHATIN),沙田區,Sha Tin
432,香港保護兒童會賽馬會學心幼兒學校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN THE JOCKEY CLUB HOK SAM NURSERY SCHOOL,沙田區,Sha Tin
433,香港基督教女青年會隆亨幼兒學校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION LUNG HANG NURSERY SCHOOL,沙田區,Sha Tin
434,合一堂單家傳紀念幼稚園,HOP YAT CHURCH SHIN KA CHUEN MEMORIAL KINDERGARTEN,沙田區,Sha Tin
435,聖母無玷聖心幼稚園,IMMACULATE HEART OF MARY KINDERGARTEN,沙田區,Sha Tin
436,九龍城浸信會禧年幼稚園,KOWLOON CITY BAPTIST CHURCH HAY NIEN KINDERGARTEN,沙田區,Sha Tin
437,廣林浸信會呂郭碧鳳幼稚園,KWONG LAM BAPTIST LUI KWOK PAT FONG KINDERGARTEN,沙田區,Sha Tin
438,光愛樂幼稚園（顯徑）,LIGHT AND LOVE HOME HAPPY KINDERGARTEN (HIN KENG),沙田區,Sha Tin
439,樂善堂李賢義幼稚園,LOK SIN TONG LEE YIN YEE KINDERGARTEN,沙田區,Sha Tin
440,樂善堂梁泳釗幼稚園,LOK SIN TONG STEPHEN LEUNG KINDERGARTEN,沙田區,Sha Tin
441,基督教香港信義會愛鄰幼兒學校 (舊校名稱: 粵南信義會腓力堂愛鄰幼兒學園),"ELCHK, OI LUN NURSERY SCHOOL (Name in the past: LUTHERAN PHILIP HOUSE OI LUN NURSERY SCHOOL)",沙田區,Sha Tin
442,馬鞍山靈糧幼稚園,MA ON SHAN LING LIANG KINDERGARTEN,沙田區,Sha Tin
443,美林邨道光幼稚園,MEI LAM ESTATE TO KWONG KINDERGARTEN,沙田區,Sha Tin
444,新九龍婦女會沙角幼兒園,NEW KOWLOON WOMEN ASSOCIATION SHA KOK NURSERY,沙田區,Sha Tin
445,新九龍婦女會新翠幼兒園,NEW KOWLOON WOMEN ASSOCIATION SUN CHUI NURSERY,沙田區,Sha Tin
446,新界婦孺福利會博康幼兒學校,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LIMITED POK HONG NURSERY SCHOOL,沙田區,Sha Tin
447,平安福音堂幼稚園,PEACE EVANGELICAL CENTRE KINDERGARTEN,沙田區,Sha Tin
448,保良局馮梁結紀念幼稚園,PO LEUNG KUK FUNG LEUNG KIT MEMORIAL KINDERGARTEN,沙田區,Sha Tin
449,保良局吳多泰幼稚園,PO LEUNG KUK NG TOR TAI KINDERGARTEN,沙田區,Sha Tin
450,保良局唐楚男（瀝源）幼稚園,PO LEUNG KUK TONG CHOR NAM (LEK YUEN) KINDERGARTEN,沙田區,Sha Tin
451,聖公會靈風堂幼稚園,S.K.H. HOLY SPIRIT CHURCH KINDERGARTEN,沙田區,Sha Tin
452,順德聯誼總會梁李秀娛沙田幼稚園,SHUN TAK FRATERNAL ASSOCIATION LEUNG LEE SAU YU (SHATIN) KINDERGARTEN,沙田區,Sha Tin
453,香港神託會培真幼稚園,STEWARDS POOI CHUN KINDERGARTEN,沙田區,Sha Tin
454,香港浸信會聯會利安幼兒園,THE BAPTIST CONVENTION OF HONG KONG LEE ON NURSERY,沙田區,Sha Tin
455,中華基督教會沙田堂博康幼稚園,"THE CHURCH OF CHRIST IN CHINA, SHATIN CHURCH POK HONG KINDERGARTEN",沙田區,Sha Tin
456,救世軍中原慈善基金幼稚園,THE SALVATION ARMY CENTALINE CHARITY FUND KINDERGARTEN,沙田區,Sha Tin
457,救世軍乙明幼兒學校,THE SALVATION ARMY JAT MIN NURSERY SCHOOL,沙田區,Sha Tin
458,救世軍水泉澳幼稚園,THE SALVATION ARMY SHUI CHUEN O KINDERGARTEN,沙田區,Sha Tin
459,救世軍田家炳幼稚園,THE SALVATION ARMY TIN KA PING KINDERGARTEN,沙田區,Sha Tin
460,救世軍禾輋幼兒學校,THE SALVATION ARMY WO CHE NURSERY SCHOOL,沙田區,Sha Tin
461,真理浸信會榮光幼兒園,TRUTH BAPTIST CHURCH GLORY NURSERY,沙田區,Sha Tin
462,真理浸信會恩典幼稚園,TRUTH BAPTIST CHURCH GRACE KINDERGARTEN,沙田區,Sha Tin
463,真理浸信會幼稚園,TRUTH BAPTIST CHURCH KINDERGARTEN,沙田區,Sha Tin
464,真理浸信會碧濤幼稚園,TRUTH BAPTIST CHURCH PICTORIAL KINDERGARTEN,沙田區,Sha Tin
465,崇真會美善幼稚園（馬鞍山）,TSUNG TSIN MISSION GRACEFUL KINDERGARTEN (MA ON SHAN),沙田區,Sha Tin
466,基督教香港崇真會安頌幼稚園,TSUNG TSIN MISSION OF HONG KONG ON CHUNG KINDERGARTEN,沙田區,Sha Tin
467,東華三院馬陳景霞幼稚園,TUNG WAH GROUP OF HOSPITALS CHAN KING HAR KINDERGARTEN,沙田區,Sha Tin
468,東華三院廖恩德紀念幼稚園,TUNG WAH GROUP OF HOSPITALS LIU YAN TAK MEMORIAL KINDERGARTEN,沙田區,Sha Tin
469,東華三院呂馮鳳紀念幼稚園,TUNG WAH GROUP OF HOSPITALS LUI FUNG FAUNG MEMORIAL KINDERGARTEN,沙田區,Sha Tin
470,東華三院南九龍獅子會幼兒園,TWGHS LIONS CLUB OF SOUTH KOWLOON NURSERY SCHOOL,沙田區,Sha Tin
471,仁愛堂鄭丁港夫人幼稚園,YAN OI TONG MRS CHENG TING KONG KINDERGARTEN,沙田區,Sha Tin
472,耀榮中英文幼稚園,YIU WING ANGLO-CHINESE KINDERGARTEN,沙田區,Sha Tin
473,雅麗斯英文幼稚園,AGNES ENGLISH KINDERGARTEN,屯門區,Tuen Mun
474,迦南幼稚園（景峰花園）,CANNAN KINDERGARTEN (PRIME VIEW GARDEN),屯門區,Tuen Mun
475,青松湖景幼稚園,CHING CHUNG WU KING KINDERGARTEN,屯門區,Tuen Mun
476,啓思幼稚園（愛琴）,CREATIVE KINDERGARTEN (AEGEAN COAST),屯門區,Tuen Mun
477,啓思幼稚園（屯門分校）,CREATIVE KINDERGARTEN (TUEN MUN BRANCH),屯門區,Tuen Mun
478,路德會富泰幼兒園,FU TAI LUTHERAN DAY NURSERY,屯門區,Tuen Mun
479,佳寶幼稚園（屯門分校）,GUIDEPOSTS KINDERGARTEN (TUEN MUN BRANCH),屯門區,Tuen Mun
480,佳寶幼稚園第二分校（建生邨）,GUIDEPOSTS KINDERGARTEN 2ND BRANCH (KIN SANG ESTATE),屯門區,Tuen Mun
481,香港聖公會青山聖彼得堂青雲路幼稚園,HKSKH ST PETER'S CHURCH CASTLE PEAK TSING WUN ROAD KINDERGARTEN,屯門區,Tuen Mun
482,中華基督教會屯門堂何福堂幼稚園,"HOH FUK TONG KINDERGARTEN (TUEN MUN CHURCH, THE CHURCH OF CHRIST IN CHINA, HONG KONG COUNCIL)",屯門區,Tuen Mun
483,香港聖公會聖西門良景幼兒學校,HONG KONG SHENG KUNG HUI ST. SIMON'S LEUNG KING NURSERY SCHOOL,屯門區,Tuen Mun
484,香港聖公會聖西門大興幼兒學校,HONG KONG SHENG KUNG HUI ST. SIMON'S TAI HING NURSERY SCHOOL,屯門區,Tuen Mun
485,香港保護兒童會蝴蝶邨幼兒學校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN BUTTERFLY ESTATE NURSERY SCHOOL,屯門區,Tuen Mun
486,香港基督教女青年會安定幼兒學校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION ON TING NURSERY SCHOOL,屯門區,Tuen Mun
487,晶晶幼稚園（屯門校）,JING JING KINDERGARTEN (TUEN MUN BRANCH),屯門區,Tuen Mun
488,珈琳幼稚園（屯門分校）,KARLAM KINDERGARTEN (TUEN MUN BRANCH),屯門區,Tuen Mun
489,建生浸信會白普理幼兒園,KIN SANG BAPTIST CHURCH BRADBURY PRE-SCHOOL,屯門區,Tuen Mun
490,路德會建生幼稚園,KIN SANG LUTHERAN KINDERGARTEN,屯門區,Tuen Mun
491,路德會良景幼兒園,LEUNG KING LUTHERAN DAY NURSERY,屯門區,Tuen Mun
492,小牛頓中英文幼稚園,LITTLE NEWTON ANGLO-CHINESE KINDERGARTEN,屯門區,Tuen Mun
493,樂善堂張葉茂清幼稚園,LOK SIN TONG CHEUNG YIP MOU CHING KINDERGARTEN,屯門區,Tuen Mun
494,樂善堂鄧德濂幼稚園,LOK SIN TONG TANG TAK LIM KINDERGARTEN,屯門區,Tuen Mun
495,路德會呂祥光幼稚園,LUI CHEUNG KWONG LUTHERAN KINDERGARTEN,屯門區,Tuen Mun
496,世界龍岡學校朱瑞蘭（中英文）幼稚園,LUNG KONG WORLD FEDERATION SCHOOL LIMITED CHU SUI LAN ANGLO-CHINESE KINDERGARTEN,屯門區,Tuen Mun
497,美樂中英文幼稚園,MELODY ANGLO-CHINESE KINDERGARTEN,屯門區,Tuen Mun
498,美樂中英文幼稚園（景峰花園分校）,MELODY ANGLO-CHINESE KINDERGARTEN (PRIME VIEW GARDEN BRANCH),屯門區,Tuen Mun
499,美樂幼兒園（美樂花園校）,MELODY NURSERY (MELODY GARDEN),屯門區,Tuen Mun
500,保良局蔡冠深幼稚園,PO LEUNG KUK CHOI KOON SHUM KINDERGARTEN,屯門區,Tuen Mun
501,保良局倪文玲（蝴蝶灣）幼稚園 (舊校名稱: 保良局蝴蝶灣幼稚園),PO LEUNG KUK MALINA NGAI (BUTTERFLY BAY) KINDERGARTEN (Name in the past: PO LEUNG KUK BUTTERFLY BAY KINDERGARTEN),屯門區,Tuen Mun
502,保良局倪文玲（友愛）幼稚園 (舊校名稱: 保良局友愛幼稚園),PO LEUNG KUK MALINA NGAI (YAU OI) KINDERGARTEN (Name in the past: PO LEUNG KUK YAU OI KINDERGARTEN),屯門區,Tuen Mun
503,保良局廖烈正幼稚園,PO LEUNG KUK THOMAS LIU LIT CHING KINDERGARTEN,屯門區,Tuen Mun
504,保良局田家炳兆康幼稚園,PO LEUNG KUK TIN KA PING SIU HONG KINDERGARTEN,屯門區,Tuen Mun
505,天后中英文幼稚園,REGINA COELI ANGLO-CHINESE KINDERGARTEN,屯門區,Tuen Mun
506,天后中英文幼稚園（二校）,REGINA COELI ANGLO-CHINESE KINDERGARTEN (SECOND BRANCH),屯門區,Tuen Mun
507,聖公會青山聖彼得堂兆麟苑幼稚園,S.K.H. ST. PETER'S CHURCH CASTLE PEAK SIU LUN COURT KINDERGARTEN,屯門區,Tuen Mun
508,聖公會青山聖彼得堂幼稚園,S.K.H. ST. PETER'S CHURCH KINDERGARTEN (CASTLE PEAK),屯門區,Tuen Mun
509,聖公會青山聖彼得堂山景邨幼稚園,S.K.H. ST. PETER'S CHURCH SHAN KING ESTATE KINDERGARTEN,屯門區,Tuen Mun
510,順德聯誼總會屯門梁李秀娛幼稚園,SHUN TAK FRATERNAL ASSOCIATION TUEN MUN LEUNG LEE SAU YU KINDERGARTEN,屯門區,Tuen Mun
511,東華三院高德根紀念幼稚園,T.W.G.HS. KO TECK KIN MEMORIAL KINDERGARTEN,屯門區,Tuen Mun
512,香港浸信會聯會寶田幼稚園,THE BAPTIST CONVENTION OF HONG KONG PO TIN KINDERGARTEN,屯門區,Tuen Mun
513,中華基督教會屯門堂幼稚園,THE CHURCH OF CHRIST IN CHINA TUEN MUN CHURCH KINDERGARTEN,屯門區,Tuen Mun
514,中華基督教會屯門堂幼稚園二校,THE CHURCH OF CHRIST IN CHINA TUEN MUN CHURCH NO. 2 KINDERGARTEN,屯門區,Tuen Mun
515,救世軍三聖幼兒學校,THE SALVATION ARMY SAM SHING NURSERY SCHOOL,屯門區,Tuen Mun
516,田景邨浸信會呂郭碧鳳幼稚園,TIN KING ESTATE BAPTIST LUI KWOK PAT FONG KINDERGARTEN,屯門區,Tuen Mun
517,真理浸信會富泰幼稚園,TRUTH BAPTIST CHURCH EMPOWER KINDERGARTEN,屯門區,Tuen Mun
518,東華三院李黃慶祥紀念幼稚園,TUNG WAH GROUP OF HOSPITALS LEE WONG HING-CHEUNG MEMORIAL KINDERGARTEN,屯門區,Tuen Mun
519,東華三院方譚遠良幼兒園,TWGHS FONG TAM YUEN LEUNG NURSERY SCHOOL,屯門區,Tuen Mun
520,東華三院馬陳家歡幼稚園,TWGHS KATHERINE MA KINDERGARTEN,屯門區,Tuen Mun
521,東華三院田家炳幼兒園,TWGHS TIN KA PING NURSERY SCHOOL,屯門區,Tuen Mun
522,世佛會觀自在幼兒學校,W.F.B. AVALOKITESVARA NURSERY SCHOOL,屯門區,Tuen Mun
523,世佛會真言宗幼兒學校,W.F.B. MANTRA INSTITUTE NURSERY SCHOOL,屯門區,Tuen Mun
524,仁濟醫院山景幼稚園,YAN CHAI HOSPITAL SHAN KING KINDERGARTEN,屯門區,Tuen Mun
525,仁濟醫院友愛幼稚園,YAN CHAI HOSPITAL YAU OI KINDERGARTEN,屯門區,Tuen Mun
526,仁濟醫院嚴徐玉珊幼稚園,YAN CHAI HOSPITAL YIM TSUI YUK SHAN KINDERGARTEN,屯門區,Tuen Mun
527,仁愛堂葉德海幼稚園,YAN OI TONG ALLAN YAP KINDERGARTEN,屯門區,Tuen Mun
528,仁愛堂劉皇發幼稚園,YAN OI TONG LAU WONG FAT KINDERGARTEN,屯門區,Tuen Mun
529,仁愛堂顏寶鈴幼稚園,YAN OI TONG NGAN PO LING KINDERGARTEN,屯門區,Tuen Mun
530,仁愛堂田家炳幼稚園,YAN OI TONG TIN KA PING KINDERGARTEN,屯門區,Tuen Mun
531,基督教宣道會太和幼稚園,CHRISTIAN & MISSIONARY ALLIANCE CHURCH TAI WO KINDERGARTEN,大埔區,Tai Po
532,基督教宣道會寶湖幼兒學校,CHRISTIAN & MISSIONARY ALLIANCE PLOVER COVE NURSERY SCHOOL,大埔區,Tai Po
533,中國基督教播道會寶雅幼兒學校,EVANGELICAL FREE CHURCH OF CHINA - PO NGA NURSERY SCHOOL,大埔區,Tai Po
534,富亨浸信會呂郭碧鳳幼稚園,FU HENG BAPTIST LUI KWOK PAT FONG KINDERGARTEN,大埔區,Tai Po
535,香港保護兒童會林護幼兒學校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN LAM WOO NURSERY SCHOOL,大埔區,Tai Po
536,香港道教聯合會圓玄幼稚園（富善邨）,HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN (FU SHIN ESTATE),大埔區,Tai Po
537,明雅中英文幼稚園,MINK ANGLO-CHINESE KINDERGARTEN,大埔區,Tai Po
538,竹園區神召會太和康樂幼兒學校,PENTECOSTAL CHURCH OF HONG KONG TAI WO NURSERY SCHOOL,大埔區,Tai Po
539,保良局劉進幼稚園,PO LEUNG KUK LAU CHUN KINDERGARTEN,大埔區,Tai Po
540,保良局鄧碧雲紀念幼稚園,PO LEUNG KUK TANG BIK WAN MEMORIAL KINDERGARTEN,大埔區,Tai Po
541,聖公會救主堂幼稚園,SHENG KUNG HUI THE CHURCH OF OUR SAVIOUR KINDERGARTEN,大埔區,Tai Po
542,大埔浸信會幼稚園,TAI PO BAPTIST KINDERGARTEN,大埔區,Tai Po
543,大埔浸信會幼稚園運頭塘邨分校,TAI PO BAPTIST KINDERGARTEN WAN TAU TONG ESTATE BRANCH,大埔區,Tai Po
544,天主教大埔幼稚園,TAI PO CATHOLIC KINDERGARTEN,大埔區,Tai Po
545,大埔商會幼稚園,TAI PO MERCHANTS ASSOCIATION KINDERGARTEN,大埔區,Tai Po
546,大埔循道衛理幼稚園,TAI PO METHODIST KINDERGARTEN,大埔區,Tai Po
547,大埔禮賢會幼稚園（安富道校址）,TAI PO RHENISH CHURCH KINDERGARTEN (LOCATION: ON FU ROAD),大埔區,Tai Po
